country,pop,tests,testpop,density,medianage,urbanpop,quarantine,schools,restrictions,hospibed,smokers,sex0,sex14,sex25,sex54,sex64,sex65plus,sexratio,lung,femalelung,malelung
Afghanistan,"38,928,346",,,60,18,25,,,,0.5,,1.05,1.03,1.03,1.03,0.97,0.85,1.03,37.62,36.31,39.33
Albania,"2,877,797",,,105,36,63,,,,2.9,29.4,1.08,1.11,1.09,0.93,0.95,0.87,0.98,11.67,7.02,17.04
Algeria,"43,851,044",,,18,29,73,,,,1.9,,1.05,1.05,1.05,1.03,1.01,0.89,1.03,8.77,5.03,12.81
Andorra,"77,265",,,164,45,88,,,,2.5,32.5,1.07,1.05,1.08,1.05,1.15,1.02,1.06,,,
Antigua and Barbuda,"97,929",,,223,34,26,,,,3.8,,1.05,1.03,0.99,0.84,0.82,0.76,0.9,11.76,7.67,18.78
Argentina,"45,195,774",,,17,32,93,3/20/2020,,,5,23.95,1.05,1.06,1.05,1,0.94,0.71,0.98,29.27,20.16,42.59
Armenia,"2,963,243",694,4269.802594,104,35,63,,,,4.2,26.9,1.13,1.14,1.06,0.93,0.84,0.67,0.94,23.86,16.17,35.99
Aruba,"106,766",,,593,41,44,,,,1.2,,1.02,1.01,1.01,0.93,0.87,0.64,0.9,,,
Australia,"25,499,884",31635,806.0655603,3,38,86,,,3/23/2020,3.8,14.9,1.06,1.06,1.09,0.99,0.93,0.86,0.99,18.79,15.9,22.16
Austria,"9,006,398",10278,876.2792372,109,43,57,3/16/2020,,,7.6,35.15,1.05,1.05,1.04,1,0.98,0.76,0.96,17.02,13.02,22.14
Azerbaijan,"10,139,177",,,123,32,56,,,,4.7,23.45,1.11,1.15,1.09,0.96,0.86,0.62,0.98,20.61,14.07,29.32
Bahrain,"1,701,575",13553,125.5496938,2239,32,89,,,,6.8,13.6,1.03,1.03,1.3,1.88,1.81,0.95,,18.37,13.83,22.39
Bangladesh,"164,689,383",,,1265,28,39,,,,0.8,20.25,1.04,1.04,1,0.93,0.98,0.97,0.97,69.07,61.7,76.24
Barbados,"287,375",,,668,40,31,,,,5.8,7,1.01,1,0.99,0.99,0.88,0.66,0.94,9.65,6.15,14.54
Belarus,"9,449,323",16000,590.5826875,47,40,79,,,,11,28.4,1.06,1.06,1.06,0.97,0.79,0.46,0.87,9.46,2.83,21.51
Belgium,"11,589,623",4225,2743.106036,383,42,98,3/18/2020,,,6.2,23.25,1.05,1.05,1.04,1.02,0.98,0.76,0.97,27.11,21.2,34.98
Benin,"12,123,200",,,108,19,48,,,,0.5,9.35,1.05,1.04,1.04,1.02,0.76,0.66,1.01,29.33,25.16,34.86
Bhutan,"771,608",,,20,28,46,,,,1.7,28.2,1.05,1.04,1.04,1.14,1.16,1.1,1.09,71.93,72.27,71.82
Bolivia,"11,673,021",,,11,26,69,,,,1.1,23.8,1.05,1.04,1.03,0.95,0.86,0.79,0.98,18.42,14.59,22.79
Bosnia and Herzegovina,"3,280,819",,,64,43,52,,,,3.5,38.6,1.07,1.07,1.07,1.01,0.92,0.64,0.95,18.48,12.88,26.05
Brazil,"212,559,417",2927,72620.23129,25,33,88,,,,2.2,15.3,1.05,1.04,1.03,0.98,0.89,0.74,0.97,26.57,19.71,35.83
Brunei,"437,479",,,83,32,80,,,,2.7,16.2,1.05,1.06,0.99,0.92,1.04,0.95,0.98,33.05,27.66,41.12
Bulgaria,"6,948,445",,,64,45,76,,,,6.8,35.3,1.06,1.06,1.09,1.06,0.88,0.69,0.95,19.79,13.98,27.92
Burkina Faso,"20,903,273",,,76,18,31,,,,0.4,20.25,1.03,1,1.01,1.03,0.77,0.6,0.99,19.38,16.7,23.65
Cambodia,"16,718,965",,,95,26,24,,,,0.8,23.45,1.05,1.02,0.98,0.96,0.65,0.6,0.94,34.21,30.47,39.66
Cameroon,"26,545,863",,,56,19,56,,,,1.3,22.35,1.03,1.02,1.01,1.01,0.95,0.87,1.01,24.85,19.94,30.6
Canada,"37,742,154",76964,490.3871161,4,41,81,,3/15/2020,3/20/2020,2.7,14.95,1.06,1.05,1.06,1.03,0.98,0.8,0.98,19.01,16.95,21.55
Central African Republic,"37,742,154",,,8,18,43,,,,1,,1.03,1.01,1.01,1,0.84,0.64,0.98,41.66,35.93,48.9
Chile,"19,116,201",,,26,35,85,,,,2.2,38,1.04,1.04,1.04,1,0.89,0.72,0.97,14.84,12.24,18.58
ChinaHong Kong,"7,496,981",5271,1422.307152,7140,45,100,,,,4.890900135,,1.12,1.12,1.08,0.74,0.94,0.89,0.87,,,
China,"1,439,323,776",320000,4497.8868,153,38,61,1/24/2020,,,4.2,24.7,1.15,1.17,1.14,1.04,1.02,0.92,1.06,63.1,56.35,70.52
Colombia,"50,882,891",2571,19791.08946,46,31,80,3/25/2020,,,1.5,11.1,1.06,1.05,1.04,0.98,0.88,0.72,0.98,36.3,31.33,42.49
Congo (Brazzaville),"5,518,087",,,16,19,70,,,,1.6,,1.03,1.02,1.01,1,0.89,0.73,1,29.04,24.91,34.09
Congo (Kinshasa),"89,561,403",,,40,17,46,,,,1.6,,1.03,1.02,1,1.01,0.99,0.78,1.01,29.06,24.88,34.05
Costa Rica,"5,094,118",,,100,33,80,,,,1.2,13.4,1.05,1.05,1.04,1.01,0.95,0.86,1.01,20.42,17.65,23.65
Cote d'Ivoire,"26,378,274",,,83,19,51,,,,0.4,,1.03,1.02,1.02,1.05,1.01,0.93,1.02,34.56,29.51,38.83
Croatia,"4,105,267",1159,3542.07679,73,44,58,,,,5.6,36.45,1.06,1.06,1.05,1,0.96,0.69,0.93,21.75,14.54,32.7
Cruise Ship,"3,500",,,25,62,100,,,,13.4,,,,,,,,,,,
Cuba,"11,326,616",,,106,42,78,,,,5.2,35.25,1.06,1.06,1.08,1.01,0.94,0.81,0.99,23.3,20.53,26.67
Cyprus,"1,207,359",,,131,37,67,,,,3.4,,1.05,1.06,1.19,1.11,0.92,0.77,1.04,17.85,11.34,26.04
Czechia,"10,708,981",6302,1699.298794,139,43,74,,3/13/2020,3/13/2020,6.5,,1.06,1.06,1.06,1.05,0.94,0.7,0.97,19.68,13.1,28.54
Denmark,"5,792,202",7620,760.1314961,137,42,88,3/16/2020,,,2.5,17,1.06,1.05,1.04,0.99,0.99,0.81,0.97,31.99,31.31,32.85
Djibouti,"988,000",,,43,27,79,,,,2.2,,1.03,1.01,0.89,0.71,0.85,0.82,0.84,18.41,12.95,25.16
Dominican Republic,"10,847,910",,,225,28,85,,,,1.6,14.1,1.04,1.04,1.04,1.05,1.01,0.86,1.03,11.43,9.5,13.57
Ecuador,"17,643,054",,,71,28,63,,,,1.5,8.65,1.05,1.04,1.03,0.95,0.96,0.91,0.99,24.07,18.85,30.17
Egypt,"102,334,404",,,103,25,43,,,,1.6,25.1,1.05,1.07,1.06,1.03,0.98,0.82,1.05,22.61,19.19,27.17
Equatorial Guinea,"1,402,985",,,50,22,73,,,,2.1,,1.03,1.03,1.04,1,0.76,0.72,0.99,41.24,32,50.58
Estonia,"1,326,535",1387,956.405912,31,42,68,,,,5,33.05,1.05,1.05,1.08,1.01,0.81,0.51,0.88,8.8,3.59,18.36
Eswatini,"1,160,164",,,67,21,30,,,,0.8,34.1,1.03,1.02,1.02,1.08,0.66,0.64,1,53.05,39.63,
Ethiopia,"114,963,588",,,115,19,21,,,,0.3,4.7,1.03,1.01,0.99,0.99,0.95,0.82,0.99,18.56,13.55,24.28
Finland,"5,540,720",900,6156.355556,18,43,86,,,,4.4,20.85,1.05,1.05,1.04,1.04,0.97,0.76,0.97,9.92,5.47,15.97
France,"65,273,511",11071,5895.90019,119,42,82,3/17/2020,,,6.5,27.7,1.05,1.05,1.05,1.01,0.93,0.75,0.96,13.15,9.64,17.69
French Guiana,"298,682",,,4,25,87,,,,3.2,,1.05,1.04,1.03,1.06,1.03,1.06,1.04,25.7,26.81,64.63
Gabon,"2,225,734",,,9,23,87,,,,6.3,,1.03,1.01,1,1,0.93,0.75,0.99,26.53,19.5,35.62
"Gambia, The","2,416,668",,,239,18,59,,,,1.1,,1.03,1.01,0.98,0.96,0.93,0.88,0.98,29.2,,
Georgia,"3,989,167",,,57,38,58,,,,2.6,31.7,1.08,1.11,1.11,0.95,0.81,0.64,0.92,23.26,15.96,34.46
Germany,"83,783,942",,,240,46,76,3/21/2020,,,8.3,30.35,1.06,1.05,1.04,1.02,0.98,0.78,0.97,20.01,16.32,24.67
Ghana,"31,072,940",,,137,22,57,,,,0.9,6.75,1.03,1.01,0.99,0.94,0.95,0.86,0.97,21.09,17.95,25.11
Greece,"10,423,054",,,81,46,85,,,,4.3,42.65,1.06,1.06,1.05,0.99,0.96,0.78,0.95,20.62,18.3,23.49
Greenland,"56,770",,,0,34,87,,,,14.35340023,,1.05,1.03,1.02,1.1,1.26,1.15,1.1,,,
Guadeloupe,"400,124",,,237,44,96,,,,0.7,,,,,,,,,,,
Guam,"168,775",,,313,31,95,,,,2.1,,1.06,1.06,1.08,1.03,1.02,0.85,1.03,,,
Guatemala,"17,915,568",,,167,23,52,,,,0.6,,1.05,1.04,1.01,0.91,0.91,0.87,0.97,21.2,18.54,24.42
Guernsey,"70,000",,,965,44,86,,,,1.8,,1.05,1.07,1.04,1.02,0.99,0.83,0.99,,,
Guinea,"13,132,795",,,53,18,39,,,,4.024199963,,1.03,1.02,1.02,1.01,0.92,0.79,1,25.37,24.24,26.7
Guyana,"786,552",,,4,27,27,,,,1.6,,1.05,1.04,1.05,1.09,0.82,0.71,1.02,25.7,19.99,32.36
Holy See,801,,,2003,40,100,,,,5,,,,,,,,,,,
Honduras,"9,904,607",,,89,24,57,,,,0.7,17.7,1.05,1.04,1.04,1.02,0.88,0.77,1.01,21.39,22.03,20.76
Hungary,"9,660,351",1587,6087.177694,107,43,72,,,,7,28.4,1.06,1.06,1.07,1.01,0.85,0.6,0.91,27.68,19.86,39.93
Iceland,"341,243",2278,149.7993854,3,37,94,,,,3.2,16.05,1.05,1.05,1.03,1.02,1.01,0.88,1.01,19.71,20.44,18.65
India,"1,380,004,385",5900,233899.0483,464,28,35,3/23/2020,,,0.7,11.15,1.12,1.13,1.13,1.06,1.01,0.9,1.08,96.92,87.54,106.89
Indonesia,"273,523,615",,,151,30,56,,,,1.2,39.9,1.05,1.04,1.04,1.04,0.84,0.77,1,36.26,23.54,51.83
Iran,"83,992,949",,,52,32,76,3/13/2020,3/5/2020,,1.5,11.1,1.05,1.05,1.05,1.04,0.97,0.86,1.03,18.84,16.47,20.99
Iraq,"40,222,493",,,93,21,73,,,,1.4,,1.05,1.04,1.04,1.02,0.91,0.8,1.02,8.56,0.69,18.37
Ireland,"4,937,786",1784,2767.817265,72,38,63,,3/13/2020,3/13/2020,2.8,22.15,1.06,1.05,1.03,1.01,1,0.86,1,24.92,23.02,27.25
Israel,"8,655,535",3872,2235.417097,400,30,93,3/19/2020,3/12/2020,3/15/2020,3.1,30.25,1.05,1.05,1.05,1.05,0.96,0.81,1.01,16.1,12.81,20.23
Italy,"60,461,826",148657,406.7203428,206,47,69,3/8/2020,,,3.4,24,1.06,1.04,1,0.98,0.94,0.75,0.93,17,12.78,22.78
Jamaica,"2,961,167",,,273,31,55,,,,1.7,17.9,1.05,1.04,1.01,0.98,0.93,0.81,0.98,15.74,6.33,26.44
Japan,"126,476,461",16484,7672.680235,347,48,92,,3/2/2020,2/25/2020,13.4,22.15,1.06,1.06,1.11,0.98,1,0.77,0.94,12.17,5.8,20.85
Jersey,"106,800",,,819,38,98,,,,6.5,23.4,1.06,1.07,1.06,1,0.96,0.74,0.97,,,
Jordan,"10,203,134",,,115,24,91,,,,1.4,40.45,1.06,1.05,1.05,1,0.95,0.89,1.02,14.54,7.52,22.09
