country_region,date,type,limit,mandatory, notes
Alabama,3/18/2020,Schools,0,Yes,
Alabama,3/20/2020,Public Places,0,Yes,
Alaska,3/16/2020,Schools,0,Yes,
Alaska,3/18/2020,Public Places,0,Yes,
Alaska,3/24/2020,Gatherings,10,Yes,
Argentina,3/20/2020,Stay at Home,0,Yes,
Arizona,3/16/2020,Schools,0,Yes,
Arizona,3/20/2020,Public Places,0,Yes,Only in counties w confirmed cases
Arkansas,3/17/2020,Schools,0,Yes,
Atlanta,3/19/2020,Public Places,0,Yes,
Australia,3/23/2020,Public Places,0,Yes,
Austria,3/16/2020,Stay at Home,0,Yes,
Belgium,3/18/2020,Stay at Home,0,Yes,
California,3/12/2020,Schools,0,Yes,
California,3/17/2020,Public Places,0,Yes,
California,3/19/2020,Stay at Home,0,Yes,
Canada,3/15/2020,Schools,0,Yes,
Canada,3/20/2020,Public Places,0,Yes,Dates are estimates as they vary by province. Looks like schools are pretty much everywhere and general restrictions 90 percent or more of country
China,1/26/2020,Schools,0,Yes,
China,1/26/2020,Public Places,0,Yes,Covered most of the country (not 100%)
China (Hubei),1/24/2020,Lockdown,0,Yes,
China (Wuhan),1/23/2020,Lockdown,0,Yes,
Colombia,3/25/2020,Stay at Home,0,Yes,
Colorado,3/1/2020,Public Places,0,Yes,
Colorado,3/18/2020,Gatherings,10,Yes,
Colorado,3/18/2020,Schools,0,Yes,
Connecticut,3/15/2020,Schools,0,Yes,
Connecticut,3/16/2020,Public Places,0,Yes,
Connecticut,3/20/2020,Non-essential,0,Yes,
Czech,3/13/2020,Public Places,0,Yes,3/18: everyone is required to cover their nose and mouth with some mask or scarf when outside.
Czech,3/13/2020,Schools,0,Yes,
Czech,3/17/2020,Stay at Home,0,Yes,
Delaware,3/16/2020,Public Places,0,Yes,
Delaware,3/16/2020,Schools,0,Yes,
Delaware,3/23/2020,Stay at Home,0,Yes,
Denmark,3/16/2020,Stay at Home,0,Yes,
Denmark,3/16/2020,Schools,0,Yes,
El Salvador,3/12/2020,Stay at Home,0,Yes,
Florida,3/16/2020,Schools,0,Yes,
Florida,3/17/2020,Public Places,0,Yes,Restrictions only partial - restaurants and bars can still have some people in
France,3/13/2020,Gatherings,100,Yes,
France,3/15/2020,Non-essential,0,Yes,
France,3/16/2020,Schools,0,Yes,
France,3/17/2020,Stay at Home,0,Yes,
Georgia,3/18/2020,Schools,0,Yes,
Georgia,3/24/2020,Gatherings,10,Yes,
Georgia,3/24/2020,Public Places,0,Yes,
Germany,3/13/2020,Schools,0,No,
Germany,3/21/2020,Stay at Home,0,Yes,
Hawaii,3/13/2020,Schools,0,Yes,
Hawaii,3/17/2020,Public Places,0,Yes,
Hawaii,3/25/2020,Stay at Home,0,Yes,
Idaho,3/18/2020,Public Places,0,No,Restrictions only partial
