,Country.Continent,Country,Country.Region,Date.LockdownBeginning
0,Africa,Democratic Republic of the Congo,KINSHASA (DRC),2020-3-28
1,Africa,IVORY COAST,,2020-3-23
2,Africa,SOUTH AFRICA,,2020-3-27
3,Africa,MAROCCO,,2020-3-23
4,Africa,ALGERIA,,2020-3-28
5,Africa,TUNISIA,,2020-3-22
6,Africa,MAURITIUS ISLANDS,,2020-3-24
7,Europe,UK,,2020-3-23
8,Europe,BULGARIA,,2020-3-19
9,Europe,DENMARK,,2020-3-11
10,Europe,GREECE,,2020-3-23
11,Europe,ITALY,,2020-3-10
12,Europe,SPAIN,,2020-3-14
13,Europe,CZECH REPUBLIC,,2020-3-16
14,Europe,FRANCE,,2020-3-17
15,Europe,BELGIUM,,2020-3-18
16,Europe,AUSTRIA,,2020-3-16
17,Europe,GERMANY,,2020-3-22
18,Europe,PORTUGAL,,2020-3-18
19,Europe,HUNGARY,,2020-3-27
20,Europe,IRELAND,,2020-3-24
21,Europe,SWITZERLAND,,2020-3-24
22,South America,VENEZUELA,,2020-3-17
23,South America,Brazil,SAO PAULO,2020-3-24
24,South America,COLOMBIA,,2020-3-24
25,South America,ARGENTINA,,2020-3-19
26,Asia,INDIA,,2020-3-24
27,Asia,China,WUHAN,2020-1-23
28,Asia,China,HUBEI PROVINCE,2020-2-13
29,Middle East,IRAQ,,2020-3-28
30,Middle East,LEBANON,,2020-3-15
31,Middle East,ISRAEL,,2020-3-17
32,North America,United States of America,CALIFORNIA,2020-3-19
33,North America,United States of America,STATE OF NY,2020-3-22
