,Province.State,Country.Region,Date.Schools,Date.Public Places,Date.Gatherings,Date.Stay at Home,Date.Lockdown,Date.Non-essential,Gatherings.limit,mandatory,notes
0,,Alabama,2020-03-18T00:00:00.000000000,2020-03-20T00:00:00.000000000,,,,,0,"Yes,Yes",","
1,,Alaska,2020-03-16T00:00:00.000000000,2020-03-18T00:00:00.000000000,2020-03-24T00:00:00.000000000,,,,10,"Yes,Yes,Yes",",,"
2,,Argentina,,,,2020-03-20T00:00:00.000000000,,,0,Yes,
3,,Arizona,2020-03-16T00:00:00.000000000,2020-03-20T00:00:00.000000000,,,,,0,"Yes,Yes",",Only in counties w confirmed cases"
4,,Arkansas,2020-03-17T00:00:00.000000000,,,,,,0,Yes,
5,,Atlanta,,2020-03-19T00:00:00.000000000,,,,,0,Yes,
6,,Australia,,2020-03-23T00:00:00.000000000,,,,,0,Yes,
7,,Austria,,,,2020-03-16T00:00:00.000000000,,,0,Yes,
8,,Belgium,,,,2020-03-18T00:00:00.000000000,,,0,Yes,
9,,California,2020-03-12T00:00:00.000000000,2020-03-17T00:00:00.000000000,,2020-03-19T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
10,,Canada,2020-03-15T00:00:00.000000000,2020-03-20T00:00:00.000000000,,,,,0,"Yes,Yes",",Dates are estimates as they vary by province. Looks like schools are pretty much everywhere and general restrictions 90 percent or more of country"
11,,China,2020-01-26T00:00:00.000000000,2020-01-26T00:00:00.000000000,,,,,0,"Yes,Yes",",Covered most of the country (not 100%)"
12,,China (Hubei),,,,,2020-01-24T00:00:00.000000000,,0,Yes,
13,,China (Wuhan),,,,,2020-01-23T00:00:00.000000000,,0,Yes,
14,,Colombia,,,,2020-03-25T00:00:00.000000000,,,0,Yes,
15,,Colorado,2020-03-18T00:00:00.000000000,2020-03-01T00:00:00.000000000,2020-03-18T00:00:00.000000000,,,,10,"Yes,Yes,Yes",",,"
16,,Connecticut,2020-03-15T00:00:00.000000000,2020-03-16T00:00:00.000000000,,,,2020-03-20T00:00:00.000000000,0,"Yes,Yes,Yes",",,"
17,,Czech,2020-03-13T00:00:00.000000000,2020-03-13T00:00:00.000000000,,2020-03-17T00:00:00.000000000,,,0,"Yes,Yes,Yes","3/18: everyone is required to cover their nose and mouth with some mask or scarf when outside.,,"
18,,Delaware,2020-03-16T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-23T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
19,,Denmark,2020-03-16T00:00:00.000000000,,,2020-03-16T00:00:00.000000000,,,0,"Yes,Yes",","
20,,El Salvador,,,,2020-03-12T00:00:00.000000000,,,0,Yes,
21,,Florida,2020-03-16T00:00:00.000000000,2020-03-17T00:00:00.000000000,,,,,0,"Yes,Yes",",Restrictions only partial - restaurants and bars can still have some people in"
22,,France,2020-03-16T00:00:00.000000000,,2020-03-13T00:00:00.000000000,2020-03-17T00:00:00.000000000,,2020-03-15T00:00:00.000000000,100,"Yes,Yes,Yes,Yes",",,,"
23,,Georgia,2020-03-18T00:00:00.000000000,2020-03-24T00:00:00.000000000,2020-03-24T00:00:00.000000000,,,,10,"Yes,Yes,Yes",",,"
24,,Germany,2020-03-13T00:00:00.000000000,,,2020-03-21T00:00:00.000000000,,,0,"No,Yes",","
25,,Hawaii,2020-03-13T00:00:00.000000000,2020-03-17T00:00:00.000000000,,2020-03-25T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
26,,Idaho,2020-03-23T00:00:00.000000000,2020-03-18T00:00:00.000000000,,,,,0,"No,No","Restrictions only partial,"
27,,Illinois,2020-03-13T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-21T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
