,Country.Continent,Country.Region,Province.State,Date.Schools,Date.Public Places,Date.Gatherings,Date.Stay at Home,Date.Lockdown,Date.Non-essential,Gatherings.limit,mandatory,notes
0,,Alabama,Alabama,2020-03-18T00:00:00.000000000,2020-03-20T00:00:00.000000000,,,,,0,"Yes,Yes",","
1,,Alaska,Alaska,2020-03-16T00:00:00.000000000,2020-03-18T00:00:00.000000000,2020-03-24T00:00:00.000000000,,,,10,"Yes,Yes,Yes",",,"
2,South America,Argentina,,,,,2020-03-20T00:00:00.000000000,2020-3-19,,0,Yes,
3,,Arizona,Arizona,2020-03-16T00:00:00.000000000,2020-03-20T00:00:00.000000000,,,,,0,"Yes,Yes",",Only in counties w confirmed cases"
4,,Arkansas,Arkansas,2020-03-17T00:00:00.000000000,,,,,,0,Yes,
5,,Atlanta,Atlanta,,2020-03-19T00:00:00.000000000,,,,,0,Yes,
6,,Australia,Australia,,2020-03-23T00:00:00.000000000,,,,,0,Yes,
7,Europe,Austria,,,,,2020-03-16T00:00:00.000000000,2020-03-16,,0,Yes,
8,Europe,Belgium,,,,,2020-03-18T00:00:00.000000000,2020-03-18,,0,Yes,
9,North America,US,California,2020-03-12T00:00:00.000000000,2020-03-17T00:00:00.000000000,,2020-03-19T00:00:00.000000000,2020-3-19,,0,"Yes,Yes,Yes",",,"
10,,Canada,Canada,2020-03-15T00:00:00.000000000,2020-03-20T00:00:00.000000000,,,,,0,"Yes,Yes",",Dates are estimates as they vary by province. Looks like schools are pretty much everywhere and general restrictions 90 percent or more of country"
11,Asia,China,,2020-01-26T00:00:00.000000000,2020-01-26T00:00:00.000000000,,,,,0,"Yes,Yes",",Covered most of the country (not 100%)"
12,Asia,China,China (Hubei),,,,,2020-01-24T00:00:00.000000000,2020-02-13,0,Yes,"12 cities in Hubei. Shut down all non-essential companies, including manufacturing plants"
13,Asia,China,China (Wuhan),,,,,2020-01-23T00:00:00.000000000,,0,Yes,"all public transport, including buses, railways, flights, and ferry services would be suspended"
14,South America,Colombia,,,,,2020-03-25T00:00:00.000000000,2020-3-24,,0,Yes,
15,,Colorado,Colorado,2020-03-18T00:00:00.000000000,2020-03-01T00:00:00.000000000,2020-03-18T00:00:00.000000000,,,,10,"Yes,Yes,Yes",",,"
16,,Connecticut,Connecticut,2020-03-15T00:00:00.000000000,2020-03-16T00:00:00.000000000,,,,2020-03-20T00:00:00.000000000,0,"Yes,Yes,Yes",",,"
17,Europe,Czech Republic,,2020-03-13T00:00:00.000000000,2020-03-13T00:00:00.000000000,,2020-03-17T00:00:00.000000000,2020-03-16,,0,"Yes,Yes,Yes","3/18: everyone is required to cover their nose and mouth with some mask or scarf when outside.,,"
18,,Delaware,Delaware,2020-03-16T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-23T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
19,Europe,Denmark,,2020-03-16T00:00:00.000000000,,,2020-03-16T00:00:00.000000000,2020-03-11,,0,"Yes,Yes",","
20,,El Salvador,El Salvador,,,,2020-03-12T00:00:00.000000000,,,0,Yes,
21,,Florida,Florida,2020-03-16T00:00:00.000000000,2020-03-17T00:00:00.000000000,,,,,0,"Yes,Yes",",Restrictions only partial - restaurants and bars can still have some people in"
22,Europe,France,,2020-03-16T00:00:00.000000000,,2020-03-13T00:00:00.000000000,2020-03-17T00:00:00.000000000,2020-03-17,2020-03-15T00:00:00.000000000,100,"Yes,Yes,Yes,Yes",",,,"
23,,Georgia,Georgia,2020-03-18T00:00:00.000000000,2020-03-24T00:00:00.000000000,2020-03-24T00:00:00.000000000,,,,10,"Yes,Yes,Yes",",,"
24,Europe,Germany,,2020-03-13T00:00:00.000000000,,,2020-03-21T00:00:00.000000000,2020-03-22,,0,"No,Yes",","
25,,Hawaii,Hawaii,2020-03-13T00:00:00.000000000,2020-03-17T00:00:00.000000000,,2020-03-25T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
26,,Idaho,Idaho,2020-03-23T00:00:00.000000000,2020-03-18T00:00:00.000000000,,,,,0,"No,No","Restrictions only partial,"
27,,Illinois,Illinois,2020-03-13T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-21T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
28,Asia,India,,,,,,2020-3-24,,0,Yes,
29,,Indiana,Indiana,2020-03-15T00:00:00.000000000,2020-03-16T00:00:00.000000000,,2020-03-23T00:00:00.000000000,,,0,"Yes,Yes,Yes",",,"
30,,Iowa,Iowa,2020-03-16T00:00:00.000000000,2020-03-17T00:00:00.000000000,,,,,0,"No,No",","
31,,Iran,Iran,2020-03-05T00:00:00.000000000,,,2020-03-13T00:00:00.000000000,,,0,"Yes,Yes",",Lockdown pervasiveness/effectiveness not clear"
32,Europe,Ireland,,2020-03-13T00:00:00.000000000,,2020-03-13T00:00:00.000000000,,2020-3-24,,100,"Yes,Yes",","
33,,Israel,Israel,2020-03-12T00:00:00.000000000,2020-03-15T00:00:00.000000000,,2020-03-19T00:00:00.000000000,2020-3-17,,0,"Yes,Yes,Yes",",,"
34,Europe,Italy,,2020-03-04T00:00:00.000000000,2020-03-09T00:00:00.000000000,,2020-03-19T00:00:00.000000000,2020-03-10,2020-03-11T00:00:00.000000000,0,"Yes,Yes,Yes,Yes",",,,"
35,,Japan,Japan,2020-03-02T00:00:00.000000000,2020-02-25T00:00:00.000000000,,,,,0,"No,No",","
36,,Kansas,Kansas,2020-03-17T00:00:00.000000000,,[],,,,60,"Yes,Yes,Yes",",,"
37,,Kentucky,Kentucky,2020-03-16T00:00:00.000000000,2020-03-16T00:00:00.000000000,2020-03-19T00:00:00.000000000,,,2020-03-23T00:00:00.000000000,100,"Yes,No,Yes,No",",,No explicit number identified, just an estimate,"
